name,handle,bio,url,platform,dm,title,location,followers,profile_url,contact_info,search_term,extraction_method,relevance_score
Instagram,@instagram,Instagram creator interested in pastry chef,https://developers.facebook.com/docs/instagram,instagram,Hey there! 👋 Just wanted to slide into your DMs and connect with some awesome pros like you! 🌟 Let’s stay in touch and share some good vibes! 💬✨ Looking forward to it! 💖,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://developers.facebook.com/docs/instagram,Contact not available,pastry chef,User Links,6
Meta Ai,@meta_ai,Instagram creator interested in pastry chef,https://instagram.com/meta_ai,instagram,Hey Meta! 👋✨ Just wanted to slide into your DMs to connect with some awesome like-minded pros! 🤝💼 Excited to stay in touch and share some good vibes! 🌟 Let’s inspire each other! 💬💖 #NetworkingGoals,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/meta_ai,Contact not available,pastry chef,User Links,6
Meta Ai Articles,@meta_ai_articles,Instagram creator interested in pastry chef,https://instagram.com/meta_ai_articles,instagram,Hey Meta! ✨ Just wanted to slide into your DMs to connect with some awesome like-minded pros! 🤝💼 Excited to share ideas and stay in touch! Let’s inspire each other! 🌟💬 #NetworkingGoals,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/meta_ai_articles,Contact not available,pastry chef,User Links,6
Www Threads Com,@www.threads.com,Instagram creator interested in pastry chef,https://www.threads.com/,instagram,Hey there! 👋 Just wanted to slide into your DMs and connect with a fellow professional! 🤝✨ Excited to share ideas and vibes! Let’s stay in touch! 🌟💬,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://www.threads.com/,Contact not available,pastry chef,User Links,6
261704639352628,@261704639352628,Instagram creator interested in pastry chef,https://www.facebook.com/help/instagram/261704639352628,instagram,Hey there! 👋✨ Just wanted to slide into your DMs to connect with awesome folks like you! 🤝🌟 Let’s stay in touch and share some good vibes! 💬💖 Looking forward to it! 🌈😊,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://www.facebook.com/help/instagram/261704639352628,Contact not available,pastry chef,User Links,6
Search,@search,Instagram creator interested in pastry chef,https://instagram.com/search,instagram,"Hey there, Search! 🌟 Just wanted to slide into your DMs to connect with some awesome like-minded pros like you! 🤝✨ Can’t wait to share ideas and stay in touch! 💬💖 #NetworkingVibes",Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/search,Contact not available,pastry chef,All Clickable Elements,6
Notifications,@notifications,Instagram creator interested in pastry chef,https://instagram.com/notifications,instagram,"Hey there! 👋 Just wanted to slide into your DMs and connect with some awesome, like-minded pros! 💼✨ Let’s keep in touch and share some good vibes! 🌟 Looking forward to it! 💬💖",Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/notifications,Contact not available,pastry chef,All Clickable Elements,6
Create,@create,Instagram creator interested in pastry chef,https://instagram.com/create,instagram,Hey Create! 🌟 Just sliding into your DMs to connect with some awesome like-minded pros! 🙌✨ Can’t wait to stay in touch and share some inspo! 💖 Let’s vibe! 🌈,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/create,Contact not available,pastry chef,All Clickable Elements,6
Dashboard,@dashboard,Instagram creator interested in pastry chef,https://instagram.com/dashboard,instagram,Hey Dashboard! 👋✨ Just wanted to slide into your DMs and connect with fellow creatives! 💫 Let’s inspire each other and keep the good vibes going! Can’t wait to stay in touch! 🌟💖 #Networking #GoodVi...,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/dashboard,Contact not available,pastry chef,All Clickable Elements,6
More,@more,Instagram creator interested in pastry chef,https://instagram.com/more,instagram,Hey More! 🌟 Just sliding into your DMs to connect with some like-minded pros! 💼✨ Can’t wait to stay in touch and share some good vibes! Let’s keep the convo going! 🙌💬 #Networking,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/more,Contact not available,pastry chef,All Clickable Elements,6
Also From Meta,@also_from_meta,Instagram creator interested in pastry chef,https://instagram.com/also_from_meta,instagram,Hey there! 🌟 Just wanted to slide into your DMs and connect with some like-minded pros! 🤝💼 Excited to stay in touch and see what we can create together! 💫✨ Let's keep the convo going! 👋😊,Instagram creator interested in pastry chef,Location not specified,Followers not shown,https://instagram.com/also_from_meta,Contact not available,pastry chef,All Clickable Elements,6
